title,price,currency,area_sqm,location,bedrooms,bathrooms,url
"Chalet for sale, Sea view - Seashell, North Coast",18700000,EGP,264,"Silver Sands, North Coast, Matruh",3,3,https://www.bayut.eg/en/property/details-502710312.html
"Ready to move apartment with a 130 SQM garden in Fifth Square, next to Palm Hills and Mountain View iCity – New Cairo, Fifth Settlement",7000000,EGP,209,"Solana, Sheikh Zayed, Giza",3,3,https://www.bayut.eg/en/property/details-502859717.html
"Duplex apartment for immediate occupancy, fully finished, next to City Center Almaza, extension of Al Thawra Street, 10-year installment plan.",14000000,EGP,242,"El Patio Compound, 5th Settlement, New Cairo, Cairo",4,3,https://www.bayut.eg/en/property/details-502873914.html
Finished Apartment For Sale Overlooking Lagoon,13300000,EGP,178,"El Patio Compound, 5th Settlement, New Cairo, Cairo",3,4,https://www.bayut.eg/en/property/details-502866602.html
"Apartment in Al Maqsad with a 5% down payment and installments over 5 years, up to 12 years, in the New Administrative Capital",8700000,EGP,213,"Mountain View iCity Compound, 6th of October, Giza",3,3,https://www.bayut.eg/en/property/details-502865104.html
"VIP LUXURY apartment with hotel-style finishing from SODIC, available in installments over 9 years in the heart of Mostakbal.",12900000,EGP,125,"Creek Town Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502868463.html
3 Bedrooms Ready To Move Apartment With Garden For Sale-Fully Finished- @Zed East.,9800000,EGP,139,"Solana, Sheikh Zayed, Giza",3,2,https://www.bayut.eg/en/property/details-502862948.html
Ready to Move Sea view Cabin With Lowest Price | cabin at MESCA | cabin at Red Sea,11400000,EGP,69,"Telal Sokhna, Ain Sukhna, Suez",1,1,https://www.bayut.eg/en/property/details-502866604.html
Ready To Move Townhouse For Sale With Lowest Price 3 Bedrooms Fully Finished @Makadi Heights In Red Sea,15000000,EGP,140,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502866491.html
Smart Villa 6 Bedroom in Uptown Cairo with the Best Price For Sale,40000000,EGP,410,"Makadi Heights, Makadi Bay, Red Sea",6,4,https://www.bayut.eg/en/property/details-502267759.html
"Finished apartment, next to El Rabwa compound",6500000,EGP,142,"Uptown Cairo, Mokattam, Cairo",3,3,https://www.bayut.eg/en/property/details-502864505.html
Ready to Move 1st Row Chalet @soma_Breeze,7500000,EGP,72,"Telal Sokhna, Ain Sukhna, Suez",1,1,https://www.bayut.eg/en/property/details-502866563.html
"The cheapest villa directly on the lagoon in Marassi - 5 bedrooms - 5 bathrooms - is now on sale for only 60,000,000 Egyptian pounds!",60000000,EGP,600,"Telal Sokhna, Ain Sukhna, Suez",5,5,https://www.bayut.eg/en/property/details-502718952.html
Villa fully finished with acs new cairo telal east,14100000,EGP,219,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",5,4,https://www.bayut.eg/en/property/details-502865220.html
for sale in marassi north coast 125m 2master bedrooms and a15m terrace sold furnished and equipped fourth floor,24000000,EGP,125,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502868369.html
Ready To Move Sea View Chalet Fully Furnished || special Offers ||,12000000,EGP,317,"Seashell, Sidi Abdel Rahman, North Coast, Matruh",3,3,https://www.bayut.eg/en/property/details-502866565.html
Finished Apartment in Zed Towers Compound,7000000,EGP,161,"Hacienda Bay, Sidi Abdel Rahman, North Coast, Matruh",3,3,https://www.bayut.eg/en/property/details-502864286.html
VILLA 3BR+MAID'S ROOM 1st ROW FULL SEA VIEW FURNISHED FACING NORTH IN MESCA - READY TO MOVE,47000000,EGP,527,"Saada Compound, 1st Settlement, New Cairo, Cairo",4,4,https://www.bayut.eg/en/property/details-502867439.html
Apartment for sale 200m fully finished with air conditioning in the compound next to the American University in an excellent location new cairo auc apartment fully finished,7500000,EGP,200,"Allegria Residence, Sheikh Zayed, Giza",3,3,https://www.bayut.eg/en/property/details-203274645.html
Ready to move twin House 2nd Row Sea View,12000000,EGP,180,"Telal Sokhna, Ain Sukhna, Suez",3,4,https://www.bayut.eg/en/property/details-502866564.html
"Distinctive Apartment for Sale – Degla, Maadi , ready to move , prime location , fully furnished",28500000,EGP,380,"Mesca, Soma Bay, Red Sea",3,4,https://www.bayut.eg/en/property/details-502133761.html
Panoramic Full Sea View Twin Villa - Fully Finished with ACs and Kitchen Cabinets - Furnished - Immediate Delivery - Makadi Heights - Resale,17750000,EGP,190,"Mesca, Soma Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502870258.html
Townhouse 4Beds Lagoon View Fully Finished Lowest Over In The Market For Sale In Soul By Emaar,26000000,EGP,267,"Soul, North Coast, Matruh",4,4,https://www.bayut.eg/en/property/details-502865635.html
Early Delivery Sea View Chalet With Lowest Prices at Blanca Gardens,7000000,EGP,114,"Makadi Heights, Makadi Bay, Red Sea",2,2,https://www.bayut.eg/en/property/details-502866561.html
"Least price-Finished apartment Village West APARTMENT FOR SALE IN VILLAGE WEST, SHEIKH ZAYED COMPOUNDS",10000000,EGP,159,"Seashell, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502866547.html
"Last villa in Makadi for sale, fully finished, with a distinctive view.",29000000,EGP,140,"Makadi Heights, Hurghada, Red Sea",3,2,https://www.bayut.eg/en/property/details-502865686.html
West Golf Apartment prime Location with the best Price in Market,13000000,EGP,63,"Makadi Heights, Hurghada, Red Sea",1,1,https://www.bayut.eg/en/property/details-502872462.html
"DELIVERY 2026, DUPLEX 3 BEDROOMS DIRECT LAGOON BY ORASCOM WITH 0%DP",12000000,EGP,160,"Hacienda Bay, Sidi Abdel Rahman, North Coast, Matruh",3,3,https://www.bayut.eg/en/property/details-502863188.html
for Sale Townhouse Finished in New Zayed with Small Down Payment and 120 Months installments,19000000,EGP,200,"Uptown Cairo, Mokattam, Cairo",3,3,https://www.bayut.eg/en/property/details-502863515.html
Property at Red Sea Ready to Move Chalet at Makadi heights with Lowest Price at Red Sea,11000000,EGP,110,"Mesca, Soma Bay, Red Sea",2,2,https://www.bayut.eg/en/property/details-502864936.html
Last Ready to move finished apartment with garden,6500000,EGP,200,"Sheikh Zayed, Giza",3,3,https://www.bayut.eg/en/property/details-502863015.html
"Two-bedroom ground-floor chalet with garden at سيا لاجون, furnished and finished.",3150000,EGP,68,"Mangroovy, Gouna, Red Sea",2,1,https://www.bayut.eg/en/property/details-502861333.html
"Luxury Apartment in Al-Forsan Buildings – Prime Location, Exceptional Price",10000000,EGP,300,"1st Settlement, New Cairo, Cairo",5,3,https://www.bayut.eg/en/property/details-502858065.html
"Villa Fully Furnished with a Private Pool Ready To Move for sale in Palm Valley, Palm Hills, 6th Of October City . . . . . . .",50000000,EGP,520,"Hills of one Compound, Sheikh Zayed, Giza",5,4,https://www.bayut.eg/en/property/details-502862182.html
Apartment Fully Finished Landscape View - 10% Down payment over 8 Years,15000000,EGP,164,"Soma Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502861525.html
"Apartment for sale in Al Mostakbal, Sheikh Zayed",2500000,EGP,70,"Soma Bay, Red Sea",2,1,https://www.bayut.eg/en/property/details-502143968.html
Duplex For Sale at Soma Bay with Lowest Price Sea View pay after 6 months Property For Sale at Soma Bay | Property For Sale at Red Sea,22000000,EGP,186,"Hills of one Compound, Sheikh Zayed, Giza",3,4,https://www.bayut.eg/en/property/details-502865017.html
for Sale Standalone in Most Prime Location New Zayed in Hills of One by People and Places Over 10 Years installments,25000000,EGP,279,"Makadi Heights, Makadi Bay, Red Sea",4,4,https://www.bayut.eg/en/property/details-502863781.html
Villa for sale in Mountain View 6th of October at the lowest market price Invest now and benefit from the highest return,10000000,EGP,190,"Makadi Heights, Makadi Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502328262.html
Fully Finished + ACS Prime Located in the heart of Shiekh Zayed suitable for real estate financing,7000000,EGP,159,"Beverly Hills Compound, Sheikh Zayed, Giza",3,2,https://www.bayut.eg/en/property/details-502864634.html
LOWEST PRICE!! 1BR 72 SQM DIRECT LAGOON FACING NORTH FINISHED IN SOMA BAY,6700000,EGP,72,"Makadi Bay, Red Sea",1,2,https://www.bayut.eg/en/property/details-502854647.html
own Ready To Move Fully Finished Apartment in o West By orascom,7005800,EGP,181,"Makadi Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502861775.html
2 Bedrooms | Direct Lagoon | Private Garden | 5% Down Payment | 8-Year Installments,9900000,EGP,105,"Greens Compound, Sheikh Zayed, Giza",2,2,https://www.bayut.eg/en/property/details-502152490.html
New Release at Cairo Festival Apartment at New Cairo Ready to Move only 10% Down Payment,26000000,EGP,190,"Bay West, Soma Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502865191.html
"Apartment 163m² in Dunes Compound, Sheikh Zayed, near the Zayed 2000 entrance",10500000,EGP,163,"Etapa Compound, Sheikh Zayed, Giza",4,3,https://www.bayut.eg/en/property/details-502865296.html
Fully Furnished Chalet (140 SQM) 1st Floor in La Vista 6 Ain Sokhna with Wide Sea view Ready to Move,8500000,EGP,140,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502732186.html
"2-Bedroom Penthouse in Somabay, Golf View, Limited Offer 5% Downpayment Only",15000000,EGP,122,"Hadayek Al Mohandessin Compound, Sheikh Zayed, Giza",2,2,https://www.bayut.eg/en/property/details-502491299.html
"Villa for sale with furniture in the Eastern Expansions, October, Abvil Compound",33000000,EGP,702,"Mesca, Soma Bay, Red Sea",7,5,https://www.bayut.eg/en/property/details-502861299.html
"Chalet for sale, 115m, fully finished, direct sea view, in La Vista Gardens, Ain Sokhna",5000000,EGP,115,"Hadayek Al Mohandessin Compound, Sheikh Zayed, Giza",2,2,https://www.bayut.eg/en/property/details-500919450.html
"Resale Villa in Uptown Cairo , View Golf and Lake, Under Market Price, 4 Bedrooms",42000000,EGP,350,"Hadayek Al Mohandessin Compound, Sheikh Zayed, Giza",4,5,https://www.bayut.eg/en/property/details-501680764.html
Property For Sale at New Zayed New Release Huge Apartment Fully Finished 5%DP | Property For Sale at Hills of One,13200000,EGP,180,"The Address, Sheikh Zayed, Giza",3,3,https://www.bayut.eg/en/property/details-502865123.html
Villa for Sale – Sea View | Bahary – Makadi Heights by Orascom Development,26800000,EGP,160,"Lake West Compound, Sheikh Zayed, Giza",4,4,https://www.bayut.eg/en/property/details-502529650.html
"Apartment for sale 150 m with furniture and appliances in Lebanon, Faisal",2150000,EGP,150,"Village West Compound, Sheikh Zayed, Giza",3,2,https://www.bayut.eg/en/property/details-502861020.html
"*Luxury Villa for Sale Below Market Price - Prime Location in Grand Heights, Sheikh Zayed - Brand New Furniture - Fully Air Conditioned - great deal.",28000000,EGP,345,"Village West Compound, Sheikh Zayed, Giza",5,6,https://www.bayut.eg/en/property/details-501679526.html
Duplex with Garden for Sale at Launch Price — Full Lagoon View in the Heart of the New Capital 3BR with the Biggest Discount & Best Payment Plan,3520000,EGP,252,"Alma Compound, Sheikh Zayed, Giza",3,5,https://www.bayut.eg/en/property/details-502844784.html
"Apartment for sale in Al Maamoura Beach, 100m, ground floor with a garden.",5000000,EGP,100,"Maamoura, Alexandria",2,2,https://www.bayut.eg/en/property/details-502647898.html
Chalet with garden facing north direct lagoon view prime location Marassi,15000000,EGP,70,"South Med, North Coast, Matruh",1,1,https://www.bayut.eg/en/property/details-502858637.html
last prime skyhouse resale finished prime location,16934620,EGP,213,"Uptown Cairo, Mokattam, Cairo",3,3,https://www.bayut.eg/en/property/details-502860077.html
Villa fully finished and furnished new cairo 5th settlement,14100000,EGP,219,"New Capital City, Cairo",6,4,https://www.bayut.eg/en/property/details-502860386.html
town house for sale in mountain view October park fully finished and furnished,20000000,EGP,300,"Alma Compound, Sheikh Zayed, Giza",5,4,https://www.bayut.eg/en/property/details-502874078.html
"Prime finished apartment in Beverly Hills Allegria by Sodic , in the best location in Sheikh zayed city",6500000,EGP,205,"Mountain View 4, 6th of October, Giza",3,3,https://www.bayut.eg/en/property/details-502826790.html
"Last ground chalet 171 square meters with a 156 square meter garden in Ras Soma with a surrounding wall and moorings on the Red Sea in Hurghada, fully finished with a complete view of the sea and an artificial lake.",21600000,EGP,171,"Ivoire Compound, Sheikh Zayed, Giza",3,3,https://www.bayut.eg/en/property/details-502734993.html
Monthly installment 25K only and 690K down payment for a 3-bedroom apartment in the heart of New Cairo – a rare opportunity.,4600000,EGP,130,"Blanca, Soma Bay, Red Sea",3,2,https://www.bayut.eg/en/property/details-502857463.html
Hotel room for sale in Sheikh Zayed at the Barceló hotels group in the Bahja compound.,5030000,EGP,42,"Ivoire Compound, Sheikh Zayed, Giza",1,1,https://www.bayut.eg/en/property/details-502857527.html
limited offer 2bed prime location sea view for sale over 6 yrs,8000000,EGP,123,"Soma Bay, Red Sea",2,2,https://www.bayut.eg/en/property/details-502857561.html
Apartment 114 m Finished In Zed Towers With Ac's For Sale,6201767,EGP,114,"Soma Bay, Red Sea",2,2,https://www.bayut.eg/en/property/details-502732658.html
Villa for Sale in Badya – Palm Hills Prime north-facing location overlooking green areas and lakes,11590750,EGP,217,"Bahja, Sheikh Zayed, Giza",4,4,https://www.bayut.eg/en/property/details-502860314.html
For Sale In Al Rabwa Finished Villa Nearby Allegria Sodic - sheikh Zayed,38000000,EGP,1000,"El Khamayel Compound, Sheikh Zayed, Giza",5,5,https://www.bayut.eg/en/property/details-502091519.html
"For sale in Al Rehab City: a standalone villa in Alwan, perfect for those who love spacious living. Fully finished to a high standard, with a swimming",28000000,EGP,565,"Casa Compound, Sheikh Zayed, Giza",5,4,https://www.bayut.eg/en/property/details-502856797.html
Luxury Duplex for Sale / Heliopolis / Golf Grounds Area,14000000,EGP,449,"Soma Bay, Red Sea",4,3,https://www.bayut.eg/en/property/details-502860390.html
garden chalet resale finished ac facing north,12049090,EGP,111,"Jewar Compound, Sheikh Zayed, Giza",2,2,https://www.bayut.eg/en/property/details-502860291.html
limited offer chalet fully finished for sale over 6 years,6000000,EGP,73,"Heliopolis, Cairo",1,2,https://www.bayut.eg/en/property/details-502857543.html
"Chalet for sale, 140 sqm, super luxurious, direct sea view, in Telal AL Sokhna - Telal AL Sokhna",7000000,EGP,140,"Solana, Sheikh Zayed, Giza",2,2,https://www.bayut.eg/en/property/details-501205467.html
2-Bedroom Chalet | Prime Location in Mar Bay | 10-Year Installments,13000000,EGP,120,"Mazarine, Alamein, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502151522.html
"3 Bedrooms Chalet Directly on Lagoon, 10-Year Installments, Luxury Finishing",16500000,EGP,150,"Ivy, Sheikh Zayed, Giza",3,3,https://www.bayut.eg/en/property/details-502486219.html
Apartment for sale in new cairo by lowest price in market,11000000,EGP,188,"Makadi Heights, Makadi Bay, Red Sea",3,3,https://www.bayut.eg/en/property/details-502726489.html
"Lowest price per meter in Al Rehab 90, a price that will not be repeated in Al Rehab City - next to the old market - Phase One",4500000,EGP,90,"Telal Sokhna, Ain Sukhna, Suez",2,1,https://www.bayut.eg/en/property/details-502860153.html
chalet for sale in one of beautiful sea fully finished in seashell,7500000,EGP,120,"Telal Sokhna, Ain Sukhna, Suez",2,2,https://www.bayut.eg/en/property/details-502721072.html
Apartment for sale 220m in MASR ELGDIDA Abdel Aziz Fahmy Super Lux,10000000,EGP,220,"Tag Sultan Compound, 1st Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502562268.html
"Apartment for sale with furniture, kitchen, electrical appliances, and air conditioning in Nasr City, Doctor Hassan Al-Sharif Street, in front of Mobil gas station. The asking price is 5,500,000.",5500000,EGP,160,"Heliopolis, Cairo",3,2,https://www.bayut.eg/en/property/details-502855213.html
"I want private housing, a villa in front of the New Administrative Capital in the distinguished neighborhood on the Suez Road in Badr City, closest to Madinaty, Mostakbal City, and Heliopolis, as well as Noor City.",14000000,EGP,630,"Mazarine, Alamein, North Coast, Matruh",4,3,https://www.bayut.eg/en/property/details-502856025.html
Under Market Price Chalet For Sale At Greek Marassi,10800000,EGP,77,"EL Patio Casa, Shorouk City, Cairo",1,1,https://www.bayut.eg/en/property/details-502874321.html
Lowest Price Townhouse Lagoon View Fully Finished Early Delivery with Installments For Sale In Soul By Emaar,25000000,EGP,240,"Mazarine, Alamein, North Coast, Matruh",3,3,https://www.bayut.eg/en/property/details-502855706.html
"Lowest total price for apartment finished , furnished with installments operated by rotana 100% in al marsem fifth square fifth settlement",5200000,EGP,48,"EL Patio Casa, Shorouk City, Cairo",1,2,https://www.bayut.eg/en/property/details-502860173.html
"250m² apartment in Zamalek, fully finished and fur",80000000,EGP,250,"Mazarine, Alamein, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502857877.html
"For sale, a luxury property in the finest and most prestigious streets of Zamalek, enjoying a stunning and open view of the great Nile River, with unique specifications.",427500000,EGP,6050,"Cairo Festival City, 5th Settlement, New Cairo, Cairo",11,11,https://www.bayut.eg/en/property/details-502719094.html
4-Bedroom Chalet in Marsa Baghous – Fully Finished – First Row Directly on Lagoon Specifications: Unit Type: Chalet Built-up Area: 170 m² Bedrooms: 4 Finishing: Fully finished Direct lagoon view Village Facilities: 24/7 security and guarding Priva,14000000,EGP,180,"Seashore, Ras Al Hekma, North Coast, Matruh",4,2,https://www.bayut.eg/en/property/details-502382317.html
"Unmissable! 110sqm furnished apartment for sale in Saray, Suez Rd",4650000,EGP,100,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502721950.html
Lowest price for sale villa ready to move Panoramic sea view in soma bay near Hurghada airport and makadii heights,19700000,EGP,148,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",2,2,https://www.bayut.eg/en/property/details-502863756.html
"Latest twin house first row by the sea in Tila El Sokhna with a sandy beach, fully finished, immediate delivery. The villa is two floors, all overlooking the view, and the villa is available for inspection from the beginning of the week.",18500000,EGP,150,"The Waterway Compound, 5th Settlement, New Cairo, Cairo",4,3,https://www.bayut.eg/en/property/details-502706861.html
Chalet Direct on Lagoons Prime View Fully Finished With Lowest Price & Installments For Sale in Ramla By Marakez,9000000,EGP,175,"Badr City, Cairo",3,3,https://www.bayut.eg/en/property/details-502855671.html
Super deluxe finished apartment with AC and furniture overlooking the swimming pool in 90 Avenue Compound Prime location in the Fifth Settlement,9000000,EGP,190,"Soul, North Coast, Matruh",3,2,https://www.bayut.eg/en/property/details-502697967.html
"For sale, the lowest price townhouse, finished, prime location, with an open view onto landscaping in Hacienda Bay, North Coast.",20500000,EGP,525,"Badr City, Cairo",5,5,https://www.bayut.eg/en/property/details-502091836.html
Chalet for sale fully finished in Talaa Al Sahel Al Shamali with a sea view and a pool.,8300000,EGP,130,"Zamalek, Cairo",3,2,https://www.bayut.eg/en/property/details-502719541.html
"The first installment after 6 months for a 453 square meter villa with special finishing including air conditioning. The villa is a standalone unit in the Tlal East compound, just minutes from Cairo Festival and شارع التسعين.",26700000,EGP,453,"Katameya Heights Compound, Katameya, Cairo",6,6,https://www.bayut.eg/en/property/details-502855080.html
Chalet for sale in Talaa Al Sokhna (hotel chalet) installment over 10 years,7000000,EGP,96,"Seashore, Ras Al Hekma, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502722823.html
"Villa with a payment period of 10 years, 263 meters, fully finished with air conditioning, steps away from Cairo Festival on Street 90.",13900000,EGP,263,"Telal Sokhna, Ain Sukhna, Suez",5,5,https://www.bayut.eg/en/property/details-502855008.html
For Sale Finished Apartment With Ac's In Village West Behind Royal City,13109000,EGP,123,"Village West Compound, Sheikh Zayed, Giza",2,2,https://www.bayut.eg/en/property/details-502726140.html
Elite Villa Standalone 987 M High End Finishing with private Swimming Pool second Row 7 Bedrooms 7 Bathrooms with Elevator Katameya Dunes compound,97000000,EGP,987,"Fifth Square Compound, 5th Settlement, New Cairo, Cairo",7,7,https://www.bayut.eg/en/property/details-502857501.html
Chalet for sale marina marassi 2 bedrooms luxurious furniture,23000000,EGP,126,"Telal Sokhna, Ain Sukhna, Suez",2,2,https://www.bayut.eg/en/property/details-502853772.html
For Sale – Fully Furnished Apartment with Appliances in Madinaty B8 77 sqm – Park View – Ready to Move,4335000,EGP,77,"Mountain View iCity Compound, 5th Settlement, New Cairo, Cairo",2,1,https://www.bayut.eg/en/property/details-502853414.html
"Apartment for sale, 240 square meters, in a prime location in Nasr City, Golden Square",6500000,EGP,240,"Home, Apartments for Sale in Cairo, Apartments for Sale in Nasr City",4,3,https://www.bayut.eg/en/property/details-502583543.html
Duplex for sale by garden in 6 october by lowest price,13837500,EGP,230,"Duplexes for Sale in Giza, Duplexes for Sale in Sheikh Zayed, Duplexes for Sale in Etapa Compound",3,3,https://www.bayut.eg/en/property/details-502727812.html
Chalet sea view for sale in Telal Sokhna and finished and ready for living.,11787500,EGP,300,"La Vista Bay North Coast, North Coast, Matruh",4,4,https://www.bayut.eg/en/property/details-502424670.html
"3-bedroom first-row lagoon apartment, fully finished and ready for immediate delivery, north-facing, in the Latin District, New Alamein City",6500000,EGP,204,"Zizinia Rose Compound, 5th Settlement, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502850590.html
LAGOON VIEW CHALET FULLY FINISHED | LOWEST PRICE ! makadi makadi heights dua chalet for sale sea view,8800000,EGP,119,"Ashrafeya Compound, 5th Settlement, New Cairo, Cairo",2,3,https://www.bayut.eg/en/property/details-502853934.html
"Penthouse villa in Palm Hills New Cairo, fully finished, super lux, with 5 rooms including a room for the nanny, with an area of over 220 square meters.",16000000,EGP,221,"El Banafseg 3, 1st Settlement, New Cairo, Cairo",5,3,https://www.bayut.eg/en/property/details-502719785.html
4-Bedroom Chalet in Marsa Baghous – Fully Finished – First Row Directly on Lagoon Specifications: Unit Type: Chalet Built-up Area: 170 m² Bedrooms: 4 Finishing: Fully finished Direct lagoon view Village Facilities: 24/7 security and guarding Priva,14000000,EGP,180,"Village West Compound, Sheikh Zayed, Giza",4,2,https://www.bayut.eg/en/property/details-502382317.html
Panoramic sea view studio ready to move in Hurghada,4500000,EGP,50,"Latin District, Alamein, North Coast, Matruh",,1,https://www.bayut.eg/en/property/details-502855106.html
Town House Middle for sale in La vista city New capital under market price prime location fully finished and furnished,18500000,EGP,230,"La Vista Ras El Hikma, Ras Al Hekma, North Coast, Matruh",3,4,https://www.bayut.eg/en/property/details-502874174.html
"Finished chalet, ready for immediate occupancy, from La Vista",16500000,EGP,150,"El Banafseg 3, 1st Settlement, New Cairo, Cairo",3,2,https://www.bayut.eg/en/property/details-502852437.html
"A 65 m² chalet in Blue Bay Resort, Ain Sokhna, with a direct beachfront location and close to Amwaj Park",4000000,EGP,65,"Telal Sokhna, Ain Sukhna, Suez",2,1,https://www.bayut.eg/en/property/details-502856094.html
2 Bedrooma Apartment 118 sqm Open View First Floor Ready to move Fully Finished for sale in tag sultan compoun 1st settlement,6500000,EGP,118,"La Vista Ras El Hikma, Ras Al Hekma, North Coast, Matruh",2,2,https://www.bayut.eg/en/property/details-502854598.html
Apartment for sale in new cairo by installments,14500000,EGP,149,"Latin District, Alamein, North Coast, Matruh",2,3,https://www.bayut.eg/en/property/details-502639775.html
3 bedroom finished apartment for sale in Pyramids Heights Compound near New Giza,8000000,EGP,243,"Rehab City, New Cairo, Cairo",3,3,https://www.bayut.eg/en/property/details-502850221.html
"Villa for sale, five million Egyptian pounds less than its price, in the Hills Villas area. 670 sq m, prime location in Al Rehab, ready for immediate",55000000,EGP,670,"Rehab City, New Cairo, Cairo",5,4,https://www.bayut.eg/en/property/details-502854383.html
